formation_wave_block_id,missing_office_number_candidate,gap_confidence,likely_2025_2026_wave,wave_detection_method,companies_house_search_link,lookup_priority
nan_nan_nan_nan,928,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20928%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,38.0
nan_nan_nan_nan,929,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20929%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,37.0
nan_nan_nan_nan,930,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20930%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,36.0
nan_nan_nan_nan,931,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20931%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,35.0
nan_nan_nan_nan,932,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20932%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,34.0
nan_nan_nan_nan,933,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20933%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,33.0
nan_nan_nan_nan,934,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20934%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,32.0
nan_nan_nan_nan,935,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20935%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,31.0
nan_nan_nan_nan,936,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20936%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,30.0
nan_nan_nan_nan,937,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20937%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,29.0
nan_nan_nan_nan,938,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20938%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,28.0
nan_nan_nan_nan,939,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20939%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,27.0
nan_nan_nan_nan,940,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20940%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,26.0
