Office No.,Company Name,Company Number,SIC Code,Registered Address,Status,Incorporated,Companies House Search Link,Lookup Priority,Wave Candidate Flag,Wave Detection Method,Confirmation Status,Research Notes
914,,,,"Office 914, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20914%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,52.0,True,office_number_high_range_sequence_inference,pending,
915,,,,"Office 915, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20915%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,51.0,True,office_number_high_range_sequence_inference,pending,
916,,,,"Office 916, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20916%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,50.0,True,office_number_high_range_sequence_inference,pending,
917,,,,"Office 917, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20917%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,49.0,True,office_number_high_range_sequence_inference,pending,
918,,,,"Office 918, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20918%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,48.0,True,office_number_high_range_sequence_inference,pending,
919,,,,"Office 919, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20919%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,47.0,True,office_number_high_range_sequence_inference,pending,
920,,,,"Office 920, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20920%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,46.0,True,office_number_high_range_sequence_inference,pending,
921,,,,"Office 921, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20921%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,45.0,True,office_number_high_range_sequence_inference,pending,
922,,,,"Office 922, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20922%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,44.0,True,office_number_high_range_sequence_inference,pending,
923,,,,"Office 923, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20923%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,43.0,True,office_number_high_range_sequence_inference,pending,
